# INITIAL SELECTION OF ULTRA-LUMINOUS INFRARED GALAXIES
# -----------------------------------------------------
# UPDATE - March 20, 2021
# Found duplicate for IRAS 07598+6508
# Removed the duplicate, 188 ULIRGs in total
# -----------------------------------------------------
# UPDATE - October 19, 2018
# Removed the object VII Zw 852 because it had a value log10(L_IR/L_sun) = 11.97 < 12.
# -----------------------------------------------------
# Made by Pablo Correa on April 16, 2018 for an IceCube analysis
# Spacing = tab (\t)
# Alignment and name spacing made by hand by Pablo Correa on April 17, 2018, but not required if updated later
#
# Legend
# ------
# Name			 = object name in the NASA/IPAC Extragalactic Database (NED)
# RA			 = right ascension (J2000) in NED [in degrees]
# DEC			 = declination (J2000) in NED [in degrees]
# z			 = redshift in NED
# f_60			 = IRAS flux at 60 micron in NED [in Jansky]
# unc_f_60		 = uncertainty on the IRAS flux at 60 micron in NED [in Jansky]
# L_IR			 = the total infrared luminosity between 8 and 1000 micron [in solar luminosities]
# Catalog		 = the original catalog(s) where the object was identified
# RBGS			 = ULIRG in the revised IRAS Revised Bright Galaxy Sample, reference code: 2003AJ....126.1607S
# FSC			 = ULIRG in the IRAS 1 Jy Faint Source Catalog, reference code: 1998ApJS..119...41K
# PSCz + Spitzer	 	 = ULIRG in the IRAS Point Source Catalog Redshift Survey observed by Spitzer, reference code: 2010MNRAS.405.2505N

Row	Name				RA [deg]		DEC [deg]	z		f_60 [Jy]	unc_f_60 [Jy]	log10(L_IR/L_sun)	Catalog
44	2MASX J06025406-7103104		90.72504		-71.05283	0.079465		5.127		0.154		12.23			PSCz + Spitzer	
45	2MASX J06210118-6317238		95.25504		-63.28986	0.092441		3.959		0.119		12.22			PSCz + Spitzer	
46	2MASS J06264206-7936302		96.67708		-79.60861	0.156412		1.919		0.058		12.39			PSCz + Spitzer	
47	2MASX J06301333+3507498		97.55546		35.13050		0.169814		0.936		0.075		12.34			PSCz + Spitzer	
48	2MASS J06363586-6220335		99.14937		-62.34254	0.159597		1.657		0.083		12.41			PSCz + Spitzer	
49	IRAS 06487+2208			102.94083	22.07417		0.143339		2.07		0.166		12.44			PSCz + Spitzer	
50	2MASX J07273754-0254540		111.90643	-2.91519		0.087557		6.49		0.032		12.32			RBGS & PSCz + Spitzer	
51	IRAS 07246+6125			112.30042	61.31486		0.137198		0.927		0.083		12.06			PSCz + Spitzer	
52	2MASX J07595974+0524513		119.99890	5.41431		0.190000		0.955		0.076		12.47			PSCz + Spitzer	
53	IRAS 07598+6508			121.13783	64.99683		0.148300		1.692		0.085		12.46			FSC & PSCz + Spitzer	
54	SDSS J082312.61+275139.8		125.80256	27.86107		0.167830		1.171		0.07		12.23			FSC & PSCz + Spitzer	
55	2MASX J08380365+5055090		129.51505	50.91912		0.096740		2.14		0.107		12.01			PSCz + Spitzer	
56	IRAS 08449+2332			131.95921	23.35272		0.151458		0.867		0.069		12.14			PSCz + Spitzer	
57	SDSS J085018.31+180200.9		132.57633	18.03361		0.145404		1.279		0.115		12.13			FSC	
58	2MASX J08584172+1041223		134.67402	10.68948		0.148000		1.119		0.067		12.16			FSC & PSCz + Spitzer	
59	IRAS 08572+3915			135.10579	39.06511		0.058350		7.3		0.028		12.10			RBGS & FSC & PSCz + Spitzer	
60	IRAS 08592+5248			135.69792	52.60833		0.158000		1.01		0.091		12.14			FSC	
61	2MASX J09041268-3627007		136.05296	-36.45027	0.059641		11.64		0.057		12.26			RBGS & PSCz + Spitzer	
62	2MASX J09063400+0451271		136.64255	4.85698		0.125140		1.484		0.089		12.07			FSC & PSCz + Spitzer	
63	2MASX J09133888-1019196		138.41182	-10.32221	0.054141		6.75		0.037		12.00			RBGS & PSCz + Spitzer	
64	2MASX J09141380+0322009		138.55747	3.36704		0.145114		1.092		0.066		12.11			FSC & PSCz + Spitzer	
65	UGC 05101			143.96498	61.35318		0.039367		11.54		0.808		11.99			PSCz + Spitzer
66	2MASX J09452133+1737533		146.33891	17.63147		0.128222		0.889		0.062		12.08			PSCz + Spitzer	
67	2MASX J09530021+8127282		148.25215	81.45789		0.156000		1.432		0.057		12.29			FSC & PSCz + Spitzer	
68	GALEXASC J095634.42+084306.0	149.14302	8.71823		0.128899		1.438		0.101		12.03			FSC & PSCz + Spitzer	
69	2MASX J10062631+2725464		151.60971	27.42956		0.165531		1.144		0.126		12.22			FSC & PSCz + Spitzer	
70	GALEXASC J101216.80+464942.9	153.06977	46.82874		0.246000		1.181		0.071		12.67			FSC & PSCz + Spitzer	
71	IRAS 10190+1322			155.42750	13.11528		0.076600		3.328		0.266		12.00			FSC & PSCz + Spitzer	
72	GALEXASC J103638.01+153241.7	159.15795	15.54503		0.197236		0.977		0.059		12.41			PSCz + Spitzer	
73	2MASX J10402919+1053178		160.12154	10.88842		0.136274		2.281		0.137		12.26			FSC & PSCz + Spitzer	
74	IRAS 10485-1447			162.76283	-15.05611	0.133000		1.732		0.225		12.17			FSC & PSCz + Spitzer	
75	2MASX J10522356+4408474		163.09800	44.14658		0.092060		3.527		0.212		12.13			FSC & PSCz + Spitzer	
76	SDSS J105839.29+382906.5		164.66376	38.48515		0.208167		0.624		0.05		12.24			PSCz + Spitzer	
77	2MASX J10591815+2432343		164.82549	24.54291		0.043100		12.1		0.025		12.02			RBGS & PSCz + Spitzer	
78	FBQS J110214.0+380234		165.55853	38.04303		0.158000		1.293		0.078		12.24			FSC	
79	SDSS J110537.53+311432.1		166.40641	31.24228		0.198604		1.021		0.071		12.32			FSC & PSCz + Spitzer	
80	LCRS B110930.3-023804		168.01407	-2.90622		0.106634		3.249		0.162		12.20			FSC & PSCz + Spitzer	
81	B2 1111+32			168.66213	32.69259		0.189000		1.588		0.175		12.58			FSC & PSCz + Spitzer	
82	AM 1113-270			168.88160	-27.27294	0.136124		1.212		0.218		12.05			FSC & PSCz + Spitzer	
83	GALEXASC J112041.74+160656.7	170.17398	16.11577		0.166000		1.189		0.095		12.24			FSC & PSCz + Spitzer	
84	IRAS 11223-1244			171.20853	-13.02041	0.199000		1.522		0.107		12.59			FSC & PSCz + Spitzer	
85	2MASXi J1141220+405950		175.34183	40.99737		0.148692		1.025		0.061		12.18			FSC & PSCz + Spitzer	
