,Name,RA,Dec,Redshift,D_L [Mpc],log(LIR),LIR_unc x 1e11,AGNbol,AGNbol_unc,SFR [M$_{\odot}$],un-corr SFR [M$_{\odot}$],Supernova rate [yr$^{-1}$] ,un-corr Supernova rate [yr$^{-1}$] ,Flux(TeV) [GeV cm$^{-2}$ s$^{-1}$],Flux(TeV) no AGN [GeV cm$^{-2}$ s$^{-1}$],SigmaIR (x 10$^{10}$ ),R_70 (kpc)
142,NGC5257b,13h39m57.11s,+00d49m42.8s,0.02261,108.5,11.4,0.657,0.11,0.05,42.37,47.6,0.511237691183084,0.5744243721158246,4.7443669886541025e-12,5.330749425454047e-12,0.99,2.0095206274441053
143,Mrk273,13h44m42.29s,+55d53m12.7s,0.03778,173.0,12.21,0.219,0.31,0.08,212.21,307.55,2.559068723308399,3.7087952511715927,9.341242135437563e-12,1.3538032080344294e-11,257.863,0.31638475608070527
144,UGC08739,13h49m13.52s,+35d15m24.5s,0.01679,81.4,11.16,0.084,0.1,0.04,24.43,27.14,0.29749205222573916,0.33054672469526575,4.905027479824176e-12,5.450030533137974e-12,0.551,2.04331002795507
145,ESO221-IG010,13h50m56.94s,-49d03m19.9s,0.01034,62.9,11.22,0.043,0.07,0.04,29.27,31.47,0.3529521297005066,0.3795184190328029,9.746067228118328e-12,1.0479642180772396e-11,4.062,0.8063806656689794
146,NGC5331a,13h52m16.25s,+02d06m05.0s,0.03304,155.0,11.57,0.064,0.07,0.04,65.07,69.97,0.7901613936632378,0.8496359071647719,3.5930833959707166e-12,3.863530533301846e-12,3.288,1.3410475016080474
147,NGC5331b,13h52m16.48s,+02d06m30.2s,0.03304,155.0,10.77,0.029,0.12,0.07,9.79,11.13,0.11849923054956513,0.13465821653359672,5.388489252164251e-13,6.123283241095741e-13,,
148,NGC5394,13h58m33.66s,+37d27m14.7s,0.01161,58.7,10.97,0.236,0.08,0.04,16.25,17.66,0.19634537943760838,0.2134188906930526,6.22528688237569e-12,6.766616176495316e-12,8.805,0.41071955961913115
149,CGCG247-020,14h19m43.31s,+49d14m12.0s,0.02574,120.0,11.4,0.027,0.06,0.03,44.18,47.0,0.5399589097888752,0.5744243721158246,4.096501390859258e-12,4.357980203041764e-12,38.905,0.32055854338218304
151,IRASF14348-1447,14h37m38.37s,-15d00m22.6s,0.08273,387.0,12.53,0.736,0.09,0.05,576.46,633.48,7.051382127246382,7.748771568402618,5.143600234259992e-12,5.652307949736256e-12,6.435,2.8949148242266065
152,IRASF14378-3651,14h40m59.03s,-37d04m32.6s,0.06764,315.0,12.23,0.192,0.05,0.02,306.9,323.06,3.689406117058508,3.8835853863773773,4.062096560548916e-12,4.275891116367279e-12,125.878,0.4633777204982066
153,NGC5734a,14h45m08.97s,-20d52m13.1s,0.01375,67.1,11.03,0.05,0.14,0.07,17.45,20.29,0.21073239813076444,0.24503767224507494,5.113298614107075e-12,5.945696062915203e-12,0.711,1.5487284110640915
154,NGC5734b,14h45m10.91s,-20d54m48.7s,0.01375,67.1,10.83,0.034,0.17,0.07,10.61,12.79,0.12832490475120936,0.1546083189773607,3.1137288971229564e-12,3.751480598943322e-12,,
155,VV340b,14h57m00.31s,+24d36m25.1s,0.03367,157.0,10.91,0.168,0.13,0.08,13.36,15.36,0.16171567238614473,0.1858800832024652,7.167499856844298e-13,8.238505582579651e-13,,
156,VV340a,14h57m00.73s,+24d37m09.2s,0.03367,157.0,11.59,0.342,0.16,0.05,61.52,73.24,0.7473295316267387,0.8896780138413556,3.3122852175761605e-12,3.943196687590668e-12,0.944,2.5610854490023183
158,CGCG049-057,15h13m12.88s,+07d13m29.3s,0.013,65.4,11.39,0.032,0.04,0.02,44.85,46.72,0.5388949219735251,0.5613488770557553,1.3764596394569262e-11,1.4338121244342983e-11,148.144,0.16239327204181936
160,ESO099-G004,15h24m57.96s,-63d07m30.2s,0.02928,137.0,11.78,0.099,0.07,0.02,105.18,113.09,1.281491726786241,1.3779480933185384,7.459153756034858e-12,8.02059543659662e-12,6.37,1.2269880969788545
161,IRASF15250+3609,15h26m59.49s,+35d58m37.2s,0.05516,254.0,12.09,0.29,0.18,0.16,189.92,231.61,2.3069953044890643,2.8134089079134927,3.906556989828305e-12,4.764093890034519e-12,79.004,0.4978351140464657
162,NGC5936,15h30m00.79s,+12d59m22.1s,0.01336,67.1,11.17,0.049,0.08,0.05,26.0,28.26,0.31118645524185923,0.3382461470020209,7.550757664370719e-12,8.207345287359479e-12,9.152,0.5071682526763565
163,Arp220,15h34m57.32s,+23d30m11.9s,0.01813,87.9,12.38,0.049,0.09,0.05,409.5,450.0,4.991996251065747,5.4857101660063154,7.058483231495493e-11,7.756574979665376e-11,626.504,0.24685853183619752
164,NGC5990,15h46m16.42s,+02d24m55.1s,0.01281,64.4,11.21,0.046,0.31,0.07,21.21,30.73,0.25590687233083986,0.37087952511715927,6.741012014185186e-12,9.769582629253895e-12,1.804,1.1961669513742597
165,NGC6052,16h05m12.92s,+20d32m36.3s,0.01581,77.6,10.98,0.049,0.1,0.05,16.18,17.98,0.19655104973987955,0.21839005526653282,3.5658807224009942e-12,3.96208969155666e-12,0.269,2.377025965716112
166,NGC6090,16h11m40.83s,+52d27m25.0s,0.02984,137.0,11.54,0.132,0.05,0.03,62.41,65.7,0.7532800462494205,0.7929263644730743,4.384602388669752e-12,4.615370935441844e-12,2.343,1.53470151388868
167,IRASF16164-0746,16h19m11.83s,-07d54m02.5s,0.02715,128.0,11.71,0.088,0.05,0.01,92.15,97.0,1.1141828350472576,1.17282403689185,7.429360135724602e-12,7.820379090236423e-12,38.288,0.4617200406118099
168,CGCG052-037,16h30m56.53s,+04d04m59.1s,0.02449,116.0,11.55,0.12,0.07,0.04,62.95,67.68,0.7545982727087581,0.811395992159955,6.126532126836578e-12,6.587668953587718e-12,8.179,0.8309214335916242
169,NGC6156,16h34m52.51s,-60d37m07.9s,0.01088,48.0,11.05,0.023,0.16,0.05,17.68,21.04,0.21553219124283698,0.2565859419557583,1.0219850820991774e-11,1.2166489072609248e-11,0.473,1.9430299524832484
170,ESO069-IG006,16h38m11.89s,-68d26m07.8s,0.04644,212.0,12.1,0.406,0.06,0.02,221.3,235.43,2.706205122694837,2.878941619888126,6.578151583024276e-12,6.998033598962e-12,9.782,1.4311865184001102
171,IRASF16399-0937,16h42m40.24s,-09d43m13.8s,0.02701,128.0,11.56,0.259,0.08,0.0,63.55,69.08,0.7638721661226134,0.8302958327419713,5.0934920564812314e-12,5.5364044092187315e-12,2.991,1.3899585819032907
172,ESO453-G005,16h47m31.12s,-29d21m21.5s,0.02088,100.0,11.45,0.152,0.05,0.03,50.52,53.18,0.6122890088090333,0.644514746114772,6.689156401052195e-12,7.041217264265471e-12,28.141,0.3992457509143585
173,NGC6240,16h52m59.01s,+02d24m04.1s,0.02448,116.0,11.97,0.381,0.11,0.02,156.82,176.21,1.8994281271681677,2.1341889069305258,1.5421327962944e-11,1.7327334789824725e-11,45.374,0.5721455605483422
174,IRASF16516-0948,16h54m23.85s,-09d53m21.3s,0.02253,107.0,11.26,0.108,0.07,0.04,32.27,34.7,0.3870043144989062,0.4161336715042003,3.6928625075806575e-12,3.970819900624363e-12,0.578,2.238443549855193
175,NGC6286b,16h58m24.04s,+58d57m20.0s,0.01835,85.7,10.86,0.182,0.08,0.04,12.46,13.54,0.1524125346518095,0.16566579853457553,2.2671169745887196e-12,2.4642575810746945e-12,2.227,0.7195317416583945
176,NGC6286a,16h58m31.60s,+58d56m11.5s,0.01835,85.7,11.32,0.535,0.11,0.06,35.41,39.78,0.42522898994826464,0.47778538196434217,6.3252268811178205e-12,7.106996495637997e-12,0.92,1.9011489855627925
177,IRASF17132+5313,17h14m19.89s,+53d10m32.0s,0.05094,232.0,11.9,0.27,0.02,0.0,148.51,151.54,1.7801595722101582,1.8164893593981202,3.61324866637036e-12,3.686988435071796e-12,0.862,3.829626616588873
178,IRASF17138-1017,17h16m35.87s,-10d20m42.1s,0.01734,84.0,11.53,0.055,0.07,0.04,59.19,63.64,0.7206357558614434,0.7748771568402618,1.1157634264049968e-11,1.1997456197903193e-11,8.294,0.8063582809177804
179,IRASF17207-0014,17h23m21.94s,-00d17m01.1s,0.04281,198.0,12.54,0.107,0.05,0.03,623.55,656.37,7.532800462494205,7.929263644730743,2.0991379000342454e-11,2.2096188421413115e-11,173.849,0.5634092428001617
180,ESO138-G027,17h26m43.34s,-59d55m55.1s,0.02078,98.3,11.44,0.062,0.07,0.02,48.35,51.99,0.5857547334031631,0.6298437993582399,6.6225257868748236e-12,7.1209954697578736e-12,9.875,0.6662565838214417
181,UGC11041,17h54m51.83s,+34d46m34.4s,0.01628,77.5,11.15,0.067,0.12,0.07,23.44,26.63,0.2842598551207774,0.32302256263724705,5.170434160749739e-12,5.875493364488339e-12,1.148,1.3993911460081967
182,CGCG141-034,17h56m56.66s,+24d01m01.2s,0.01983,93.4,11.25,0.11,0.08,0.01,31.02,33.72,0.3741284076719509,0.40666131268690303,4.685347641572382e-12,5.092769175622152e-12,18.204,0.3942998868114553
183,IRAS17578-0400,18h00m31.84s,-04d00m53.1s,0.01404,68.5,11.51,0.037,0.03,0.02,58.76,60.58,0.7178018816640256,0.7400019398598202,1.6712381328065218e-11,1.7229259101098167e-11,72.684,0.26618933787428267
